"Arab","Black","Chinese","Filipino","Japanese","Korean","Latin.American","Multiple.visible.minority","South.Asian","Southeast.Asian","Total.population","Visible.minority.not.included.elsewhere","Visible.minority.population","West.Asian","lat","long","googleLat","googleLong"
190,620,990,155,65,45,320,25,890,55,179270,40,3460,65,47.58,-52.69,47.5605413,-52.7128315
3840,13270,3100,530,410,620,690,780,2900,655,369455,180,27645,670,44.67,-63.61,44.6488625,-63.5753196
165,1035,295,100,10,65,95,175,350,65,124055,10,2425,70,46.09,-64.78,46.0878165,-64.7782313
125,1250,975,205,10,120,210,60,485,60,120875,30,3805,270,45.29,-66.06,45.2733153,-66.0633081
195,330,295,50,0,15,280,10,45,55,149600,10,1280,0,48.440912,-71.068306,48.4280529,-71.0684923
2800,5080,1855,120,170,165,3150,235,535,1615,704185,225,16355,405,46.82,-71.23,52.9399159,-73.5491361
940,1830,590,35,30,60,2060,165,340,410,183635,20,7000,505,45.4,-71.9,45.4009928,-71.8824288
535,625,210,15,0,10,540,35,50,225,138555,15,2270,0,46.35,-72.57,46.3432397,-72.5432834
98885,169060,72015,23510,2990,4665,75400,10245,70620,44970,3588520,3505,590375,14520,45.52,-73.57,45.5086699,-73.5539925
28195,45060,32445,7330,1800,2280,10630,4540,27130,11670,1117120,1720,179295,6490,45.42,-75.71,45.4619239,-75.6763599
370,1165,2470,485,255,325,745,215,1785,330,148475,170,8600,280,44.23,-76.5,44.2311717,-76.4859544
80,575,730,110,70,260,255,35,665,180,115140,40,3095,105,44.3,-78.34,44.309058,-78.319747
1135,12605,3690,2155,795,540,1665,1705,6195,670,328070,1330,33700,1195,43.89,-78.86,43.8970929,-78.8657912
53430,352220,486325,171985,19010,55270,99290,60070,684070,70215,5072075,46705,2174065,75470,43.65,-79.38,43.653226,-79.3831843
6500,16480,11660,4880,1415,2255,6760,2315,19970,6805,683450,1345,84295,3910,43.26,-79.85,43.2500208,-79.8660914
1480,5030,3600,2130,735,930,4205,820,3595,2090,385035,235,25470,615,43.18,-79.24,43.1593745,-79.2468626
3175,9450,9150,1850,625,1700,6805,1755,16240,6150,446495,1825,61455,2720,43.46,-80.5,43.4565521,-80.4638552
240,1700,695,655,95,250,390,210,1785,580,122830,75,6715,30,43.15,-80.26,43.1393867,-80.2644254
510,1600,3110,1965,170,190,1070,635,3875,1600,126085,230,16025,1065,43.56,-80.26,43.5448048,-80.2481666
7800,8255,6545,1990,565,2125,7920,1600,6415,4050,452575,790,50300,2235,42.97,-81.24,42.9869502,-81.243177
9975,9490,7825,3145,150,605,2905,1060,10265,2945,320730,995,51200,1830,42.314386,-83.037901,42.3149367,-83.0363633
300,2310,1180,875,350,410,1165,490,1900,530,175335,310,10130,310,44.38,-79.68,44.3893556,-79.6903316
115,1100,620,150,65,70,180,145,580,145,156400,60,3280,55,46.49,-81.01,46.49,-81.01
50,450,925,250,380,30,170,190,390,370,121050,30,3275,30,48.42,-89.28,48.3808951,-89.2476823
2125,14470,12810,36935,1840,2080,5480,3080,15290,5340,686040,1595,102940,1895,49.88,-97.17,49.8997541,-97.1374937
475,2170,3335,1230,180,330,955,335,1975,1260,192435,120,12605,220,50.45,-104.61,50.454722,-104.606667
940,1900,4245,1920,335,110,1050,345,2230,1010,230850,115,14870,665,52.15,-106.66,52.1332144,-106.6700458
11660,21060,66375,25565,4680,6835,13410,6860,57700,15750,1070295,1985,237890,6010,51.05,-114.06,51.0453246,-114.0581012
11940,20380,47195,19630,2270,3770,9210,5275,40200,11025,1024825,1475,175295,2925,53.57,-113.54,53.544389,-113.4909267
60,660,1470,410,1230,265,525,305,2345,720,160560,135,8320,190,49.89,-119.46,49.8879519,-119.4960106
150,930,2245,730,830,1615,1275,450,25580,1665,156640,35,35715,210,49.06,-122.3,49.1231484,-122.3051476
7430,20670,381535,78890,25425,44825,22695,22115,207160,33470,2097965,2920,875295,28160,49.28,-123.13,49.261226,-123.1139268
500,2360,12330,2760,2280,1235,1845,930,7210,1585,325060,260,33870,575,48.43,-123.37,48.4284207,-123.3656444
